epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1758.33,0.76132,0.46968,0.89937,0.92794,0.75771,0.89571,0.56248,1.42343,0.84427,1.40071,0.000614,0.000614,0.000614
72,1783.89,0.73218,0.46495,0.91777,0.80608,0.85588,0.90011,0.56846,1.42078,0.83129,1.35533,0.0005942,0.0005942,0.0005942
73,1808.93,0.69411,0.45089,0.88426,0.83848,0.82353,0.89526,0.55423,1.39305,0.80544,1.36812,0.0005744,0.0005744,0.0005744
74,1833.98,0.7222,0.45185,0.90276,0.87171,0.79951,0.88549,0.54395,1.36161,0.83647,1.36065,0.0005546,0.0005546,0.0005546
75,1859.31,0.70301,0.46084,0.88226,0.9527,0.76471,0.8728,0.54925,1.33905,0.8579,1.32357,0.0005348,0.0005348,0.0005348
76,1884.85,0.7178,0.45012,0.88702,0.92148,0.76471,0.87436,0.53953,1.3554,0.83303,1.35617,0.000515,0.000515,0.000515
77,1909.16,0.69187,0.43084,0.88715,0.92586,0.73464,0.88085,0.53593,1.37418,0.88653,1.35955,0.0004952,0.0004952,0.0004952
78,1933.34,0.68841,0.45481,0.88943,0.8305,0.86484,0.88501,0.5356,1.38007,0.89811,1.38455,0.0004754,0.0004754,0.0004754
79,1957.8,0.7008,0.44187,0.89415,0.84348,0.85294,0.88548,0.54794,1.35108,0.83304,1.39114,0.0004556,0.0004556,0.0004556
80,1982.4,0.68795,0.43104,0.87816,0.83752,0.85294,0.8968,0.54369,1.34504,0.77,1.36569,0.0004358,0.0004358,0.0004358
81,2008.08,0.66804,0.40987,0.87949,0.8781,0.84757,0.90042,0.55395,1.39578,0.82654,1.423,0.000416,0.000416,0.000416
82,2034.25,0.66113,0.41837,0.88895,0.89442,0.82353,0.88529,0.55916,1.36265,0.79357,1.35164,0.0003962,0.0003962,0.0003962
83,2060.44,0.65879,0.41063,0.87197,0.89088,0.82353,0.89205,0.5753,1.34961,0.78383,1.31877,0.0003764,0.0003764,0.0003764
84,2086.39,0.63005,0.39687,0.86682,0.86657,0.82353,0.89117,0.5654,1.34308,0.75879,1.30692,0.0003566,0.0003566,0.0003566
85,2111.89,0.64683,0.40712,0.86845,0.84543,0.85294,0.8822,0.56915,1.35307,0.79705,1.31398,0.0003368,0.0003368,0.0003368
86,2137.62,0.65723,0.4143,0.88459,0.8511,0.85294,0.88394,0.57117,1.41039,0.85356,1.36392,0.000317,0.000317,0.000317
87,2163.44,0.65572,0.43005,0.89181,0.85293,0.85287,0.89078,0.56748,1.39182,0.7841,1.34756,0.0002972,0.0002972,0.0002972
88,2188.93,0.66095,0.42014,0.86782,0.8315,0.85294,0.90184,0.60642,1.37355,0.75256,1.3355,0.0002774,0.0002774,0.0002774
89,2212.12,0.61697,0.3987,0.87633,0.85201,0.85294,0.89929,0.6003,1.3618,0.76437,1.32668,0.0002576,0.0002576,0.0002576
90,2236.47,0.66481,0.40786,0.88301,0.8528,0.85199,0.88895,0.58779,1.36942,0.77194,1.32999,0.0002378,0.0002378,0.0002378
91,2261.06,0.58968,0.37237,0.84413,0.92801,0.75849,0.8752,0.56841,1.36911,0.78556,1.29824,0.000218,0.000218,0.000218
92,2284.56,0.55145,0.35845,0.8449,0.91365,0.76471,0.86259,0.55701,1.37862,0.81552,1.31558,0.0001982,0.0001982,0.0001982
93,2306.87,0.56275,0.35978,0.83576,0.8478,0.81929,0.86436,0.54009,1.40568,0.84913,1.35513,0.0001784,0.0001784,0.0001784
94,2329.71,0.56781,0.35728,0.8425,0.84845,0.82334,0.87215,0.54326,1.40896,0.80783,1.35927,0.0001586,0.0001586,0.0001586
95,2353.13,0.55106,0.35749,0.84561,0.92734,0.75106,0.87226,0.5447,1.41299,0.81589,1.3588,0.0001388,0.0001388,0.0001388
96,2378.83,0.53885,0.34281,0.83291,0.83076,0.88235,0.88141,0.55664,1.42724,0.81747,1.37753,0.000119,0.000119,0.000119
97,2403.64,0.55006,0.34376,0.83331,0.85287,0.88235,0.88764,0.56018,1.42406,0.82233,1.38843,9.92e-05,9.92e-05,9.92e-05
98,2429.09,0.56223,0.3424,0.83363,0.84857,0.88235,0.89284,0.56504,1.41687,0.80267,1.38673,7.94e-05,7.94e-05,7.94e-05
99,2454.76,0.55898,0.35224,0.8357,0.85605,0.88235,0.8942,0.56522,1.40884,0.79983,1.38317,5.96e-05,5.96e-05,5.96e-05
100,2480.18,0.56146,0.35223,0.83795,0.8565,0.87782,0.89227,0.56002,1.40876,0.8055,1.38232,3.98e-05,3.98e-05,3.98e-05
